RC circuit simulation with Forward_Euler :************************************************
t= 0.0	v1= 2.5	v2= 2.5
t= 0.2	v1= 2.45	v2= 2.142270709990495
t= 0.4	v1= 2.4050000000000002	v2= 1.8184249258380636
t= 0.6	v1= 2.3649000000000004	v2= 1.524337399723344
t= 0.8	v1= 2.3296020000000004	v2= 1.25625949568574
t= 1.0	v1= 2.2990099600000002	v2= 1.01077841960412
t= 1.2	v1= 2.2730297608	v2= 0.7847967829885081
t= 1.4	v1= 2.247569165584	v2= 0.5801194424178238
t= 1.5999999999999999	v1= 2.2226177822723203	v2= 0.418299658549501
t= 1.7999999999999998	v1= 2.1981654266268738	v2= 0.309858164219351
t= 1.9999999999999998	v1= 2.1742021180943363	v2= 0.24694809557014233
t= 2.1999999999999997	v1= 2.1507180757324496	v2= 0.21443166527038382
t= 2.4	v1= 2.1277037142178004	v2= 0.19939269332352022
t= 2.6	v1= 2.1051496399334444	v2= 0.1936888324138043
t= 2.8000000000000003	v1= 2.0830466471347755	v2= 0.19286202331854901
t= 3.0000000000000004	v1= 2.06138571419208	v2= 0.19461382353797937
t= 3.2000000000000006	v1= 2.0401579999082387	v2= 0.19778202339962142
t= 3.400000000000001	v1= 2.019354839910074	v2= 0.2017795424734421
t= 3.600000000000001	v1= 1.9989677431118724	v2= 0.20630859604130364
t= 3.800000000000001	v1= 1.978988388249635	v2= 0.2112183562299573
t= 4.000000000000001	v1= 1.9594086204846424	v2= 0.21643408801144576
t= 4.200000000000001	v1= 1.9402204480749494	v2= 0.22192153027220857
t= 4.400000000000001	v1= 1.9214160391134505	v2= 0.22766876362480346
t= 4.600000000000001	v1= 1.9029877183311814	v2= 0.2336768794960175
t= 4.800000000000002	v1= 1.8849279639645578	v2= 0.2399551667555479
t= 5.000000000000002	v1= 1.8672294046852667	v2= 0.24651867664926855
t= 5.200000000000002	v1= 1.8498848165915613	v2= 0.2533870847584876
t= 5.400000000000002	v1= 1.83288712025973	v2= 0.2605843000653288
t= 5.600000000000002	v1= 1.8162293778545355	v2= 0.26813854452734065
t= 5.8000000000000025	v1= 1.7999047902974448	v2= 0.2760827720832913
t= 6.000000000000003	v1= 1.7839066944914959	v2= 0.2844553778349483
t= 6.200000000000003	v1= 1.7682285606016659	v2= 0.2933011982516081
t= 6.400000000000003	v1= 1.7528639893896325	v2= 0.30267283732899536
t= 6.600000000000003	v1= 1.73780670960184	v2= 0.3126323779786016
t= 6.800000000000003	v1= 1.723050575409803	v2= 0.32325355089873964
t= 7.0000000000000036	v1= 1.708589563901607	v2= 0.3346244220747071
t= 7.200000000000003	v1= 1.694417772623575	v2= 0.34685059158245696
t= 7.400000000000003	v1= 1.6805294171711034	v2= 0.36005869790077677
t= 7.600000000000003	v1= 1.6669188288276813	v2= 0.37439955488468496
t= 7.800000000000003	v1= 1.6535804522511277	v2= 0.39004930439141483
t= 8.000000000000004	v1= 1.6405088432061052	v2= 0.4072054201996331
t= 8.200000000000005	v1= 1.6276986663419832	v2= 0.42607285024530434
t= 8.400000000000004	v1= 1.6151446930151436	v2= 0.44683667369654956
t= 8.600000000000005	v1= 1.6028417991548407	v2= 0.469625788326437
t= 8.800000000000004	v1= 1.590784963171744	v2= 0.49448555854834686
t= 9.000000000000005	v1= 1.578969263908309	v2= 0.5213786561083026
t= 9.200000000000005	v1= 1.5673898786301428	v2= 0.550211451474636
t= 9.400000000000004	v1= 1.55604208105754	v2= 0.5808643641706888
t= 9.600000000000005	v1= 1.5449212394363891	v2= 0.6132113420348738
t= 9.800000000000004	v1= 1.5340228146476613	v2= 0.647128444713732
t= 10.000000000000005	v1= 1.523342358354708	v2= 0.6824966562805976
t= 10.200000000000005	v1= 1.5128755111876138	v2= 0.7192025194526247
t= 10.400000000000006	v1= 1.4986180009638614	v2= 0.7571381111763016
t= 10.600000000000005	v1= 1.480645640944584	v2= 0.79692586885774
t= 10.800000000000006	v1= 1.4590327281256923	v2= 0.8391034480936259
t= 11.000000000000005	v1= 1.4338520735631783	v2= 0.8841122111208034
t= 11.200000000000006	v1= 1.4051750320919147	v2= 0.9322867460239338
t= 11.400000000000006	v1= 1.3770715314500765	v2= 0.9838452636059334
t= 11.600000000000007	v1= 1.349530100821075	v2= 1.0383397176347051
t= 11.800000000000006	v1= 1.3225394988046535	v2= 1.095349051229342
t= 12.000000000000007	v1= 1.2960887088285604	v2= 1.154477734827786
t= 12.200000000000006	v1= 1.2701669346519893	v2= 1.2153544304412767
t= 12.400000000000007	v1= 1.2447635959589496	v2= 1.2776308231545999
t= 12.600000000000007	v1= 1.2198683240397705	v2= 1.3409806744900352
t= 12.800000000000008	v1= 1.195470957558975	v2= 1.405099164528149
t= 13.000000000000007	v1= 1.1715615384077955	v2= 1.4697025956845902
t= 13.200000000000008	v1= 1.1481303076396396	v2= 1.5345285230011525
t= 13.400000000000007	v1= 1.1251677014868469	v2= 1.5993363435803332
t= 13.600000000000007	v1= 1.1026643474571098	v2= 1.6639083118618534
t= 13.800000000000008	v1= 1.0806110605079677	v2= 1.7280508455901193
t= 14.000000000000007	v1= 1.0589988392978085	v2= 1.7915958641319176
t= 14.200000000000008	v1= 1.0378188625118523	v2= 1.854401794456273
t= 14.400000000000007	v1= 1.0170624852616152	v2= 1.9163538462858867
t= 14.600000000000009	v1= 0.9967212355563829	v2= 1.9773632435793056
t= 14.800000000000008	v1= 0.9767868108452553	v2= 2.0373653053918663
t= 15.000000000000009	v1= 0.9572510746283502	v2= 2.096316531193541
t= 15.200000000000006	v1= 0.9381060531357832	v2= 2.1541910612154234
t= 15.400000000000006	v1= 0.9193439320730675	v2= 2.21097697030407
t= 15.600000000000003	v1= 0.9009570534316061	v2= 2.2666728011143653
t= 15.800000000000002	v1= 0.882937912362974	v2= 2.321284600488866
t= 16.0	v1= 0.8652791541157145	v2= 2.3748235641383317
t= 16.2	v1= 0.8479735710334002	v2= 2.4273042717111473
t= 16.4	v1= 0.8310140996127322	v2= 2.47874342496165
t= 16.599999999999998	v1= 0.8143938176204776	v2= 2.529158978455829
t= 16.799999999999994	v1= 0.798105941268068	v2= 2.578569557855081
t= 16.999999999999993	v1= 0.7821438224427066	v2= 2.6269940794422917
t= 17.199999999999992	v1= 0.7665009459938525	v2= 2.67445150584446
t= 17.39999999999999	v1= 0.7511709270739755	v2= 2.7209606917307787
t= 17.599999999999987	v1= 0.736147508532496	v2= 2.7665402879404257
t= 17.799999999999986	v1= 0.721424558361846	v2= 2.811208683106364
t= 17.999999999999986	v1= 0.7069960671946092	v2= 2.8549839691503283
t= 18.199999999999985	v1= 0.692856145850717	v2= 2.8978839218962547
t= 18.399999999999984	v1= 0.6789990229337026	v2= 2.9399259912261257
t= 18.59999999999998	v1= 0.6654190424750286	v2= 2.9811272972432192
t= 18.79999999999998	v1= 0.652110661625528	v2= 3.021504630206735
t= 18.99999999999998	v1= 0.6390684483930175	v2= 3.061074452823883
t= 19.199999999999978	v1= 0.6262870794251572	v2= 3.09985290400439
t= 19.399999999999974	v1= 0.613761337836654	v2= 3.137855803509701
t= 19.599999999999973	v1= 0.6014861110799209	v2= 3.1750986571358033
t= 19.799999999999972	v1= 0.5894563888583225	v2= 3.2115966621994017
t= 19.99999999999997	v1= 0.5776672610811561	v2= 3.247364713180196
t= 20.19999999999997	v1= 0.566113915859533	v2= 3.282417407424917
t= 20.399999999999967	v1= 0.5587916375423417	v2= 3.3167690508526353
t= 20.599999999999966	v1= 0.5556158047914942	v2= 3.350433662917124
t= 20.799999999999965	v1= 0.5565034886956637	v2= 3.3834249833065906
t= 20.999999999999964	v1= 0.5613734189217497	v2= 3.4157564771348237
t= 21.19999999999996	v1= 0.5701459505433141	v2= 3.4474413401763515
t= 21.39999999999996	v1= 0.5787430315324478	v2= 3.478492503984638
t= 21.59999999999996	v1= 0.5871681709017988	v2= 3.508922642076154
t= 21.799999999999958	v1= 0.5954248074837629	v2= 3.538744174400144
t= 21.999999999999954	v1= 0.6035163113340877	v2= 3.5679692723931526
t= 22.199999999999953	v1= 0.6114459851074059	v2= 3.5966098639301927
t= 22.399999999999952	v1= 0.6192170654052578	v2= 3.624677638174435
t= 22.59999999999995	v1= 0.6268327240971526	v2= 3.65218405032726
t= 22.79999999999995	v1= 0.6342960696152096	v2= 3.6791403262804874
t= 22.999999999999947	v1= 0.6416101482229054	v2= 3.705557467172567
t= 23.199999999999946	v1= 0.6487779452584473	v2= 3.7314462538504927
t= 23.399999999999945	v1= 0.6558023863532784	v2= 3.756817251239189
t= 23.599999999999945	v1= 0.6626863386262128	v2= 3.781680812620102
t= 23.79999999999994	v1= 0.6694326118536886	v2= 3.8060470838207228
t= 23.99999999999994	v1= 0.6760439596166149	v2= 3.829926007316755
t= 24.19999999999994	v1= 0.6825230804242826	v2= 3.8533273262486643
t= 24.399999999999938	v1= 0.6888726188157969	v2= 3.876260588354318
t= 24.599999999999937	v1= 0.6950951664394809	v2= 3.898735149819466
t= 24.799999999999933	v1= 0.7011932631106913	v2= 3.9207601790477984
t= 24.999999999999932	v1= 0.7071693978484774	v2= 3.94234466035234
t= 25.199999999999932	v1= 0.7130260098915079	v2= 3.963497397569963
t= 25.39999999999993	v1= 0.7187654896936777	v2= 3.9842270176007992
t= 25.599999999999927	v1= 0.7243901798998041	v2= 4.004541973874372
t= 25.799999999999926	v1= 0.7299023763018081	v2= 4.024450549744264
t= 25.999999999999925	v1= 0.7353043287757719	v2= 4.043960861813165
t= 26.199999999999925	v1= 0.7405982422002565	v2= 4.063080863190149
t= 26.39999999999992	v1= 0.7457862773562514	v2= 4.0818183466820495
t= 26.59999999999992	v1= 0.7508705518091263	v2= 4.100180947920796
t= 26.79999999999992	v1= 0.7558531407729437	v2= 4.1181761484285815
t= 26.99999999999992	v1= 0.7607360779574849	v2= 4.135811278622727
t= 27.199999999999918	v1= 0.7655213563983352	v2= 4.153093520762095
t= 27.399999999999913	v1= 0.7702109292703685	v2= 4.170029911836889
t= 27.599999999999913	v1= 0.7748067106849611	v2= 4.186627346403652
t= 27.799999999999912	v1= 0.7793105764712619	v2= 4.202892579367238
t= 27.99999999999991	v1= 0.7837243649418366	v2= 4.218832228711502
t= 28.199999999999907	v1= 0.7880498776429998	v2= 4.234452778180399
t= 28.399999999999906	v1= 0.7922888800901399	v2= 4.249760579911126
t= 28.599999999999905	v1= 0.796443102488337	v2= 4.26476185702089
t= 28.799999999999905	v1= 0.8005142404385703	v2= 4.2794627061488
t= 28.999999999999904	v1= 0.8045039556297989	v2= 4.293869099954327
t= 29.1999999999999	v1= 0.808413876517203	v2= 4.307986889573672
t= 29.3999999999999	v1= 0.8122455989868589	v2= 4.321821807035316
t= 29.5999999999999	v1= 0.8160006870071217	v2= 4.33537946763593
t= 29.799999999999898	v1= 0.8196806732669792	v2= 4.34866537227773
t= 29.999999999999897	v1= 0.8232870598016396	v2= 4.3616849097682735
t= 30.1999999999999	v1= 0.8268213186056068	v2= 4.374443359083585
t= 30.399999999999903	v1= 0.8262848922334967	v2= 4.386945891595431
t= 30.599999999999902	v1= 0.8217591943888287	v2= 4.399198491283469
t= 30.799999999999905	v1= 0.8133240105010541	v2= 4.411206972203075
t= 30.999999999999908	v1= 0.8010575302910349	v2= 4.422976762241394
t= 31.19999999999991	v1= 0.785036379685216	v2= 4.4345128128906754
t= 31.39999999999991	v1= 0.7693356520915117	v2= 4.445819652482092
t= 31.599999999999913	v1= 0.7539489390496814	v2= 4.456901337067223
t= 31.799999999999915	v1= 0.7388699602686878	v2= 4.467762029621801
t= 31.999999999999915	v1= 0.724092561063314	v2= 4.478405930082522
t= 32.19999999999992	v1= 0.7096107098420477	v2= 4.488837231438617
t= 32.39999999999992	v1= 0.6954184956452067	v2= 4.49906009237885
t= 32.59999999999992	v1= 0.6815101257323026	v2= 4.509078620434006
t= 32.799999999999926	v1= 0.6678799232176565	v2= 4.518896861769693
t= 32.99999999999992	v1= 0.6545223247533034	v2= 4.528518795195838
t= 33.199999999999925	v1= 0.6414318782582373	v2= 4.5379483288533295
t= 33.39999999999993	v1= 0.6286032406930726	v2= 4.547189298602757
t= 33.59999999999993	v1= 0.6160311758792112	v2= 4.556245467496286
t= 33.79999999999993	v1= 0.603710552361627	v2= 4.565120525938501
t= 33.999999999999936	v1= 0.5916363413143945	v2= 4.57381809228425
t= 34.19999999999994	v1= 0.5798036144881066	v2= 4.58234171371175
t= 34.399999999999935	v1= 0.5682075421983445	v2= 4.590694867266695
t= 34.59999999999994	v1= 0.5568433913543775	v2= 4.598880961009857
t= 34.79999999999994	v1= 0.54570652352729	v2= 4.606903335224294
t= 34.99999999999994	v1= 0.5347923930567442	v2= 4.614765263653546
t= 35.199999999999946	v1= 0.5240965451956093	v2= 4.622469954752099
t= 35.39999999999995	v1= 0.5136146142916972	v2= 4.630020552935851
t= 35.59999999999995	v1= 0.5033423220058633	v2= 4.6374201398245765
t= 35.79999999999995	v1= 0.493275475565746	v2= 4.644671735471165
t= 35.99999999999995	v1= 0.4834099660544311	v2= 4.651778299574256
t= 36.19999999999995	v1= 0.47374176673334245	v2= 4.658742732672158
t= 36.399999999999956	v1= 0.4642669313986756	v2= 4.665567877316712
t= 36.59999999999996	v1= 0.45498159277070205	v2= 4.67225651922638
t= 36.79999999999996	v1= 0.44588196091528803	v2= 4.678811388418145
t= 36.99999999999996	v1= 0.4369643216969823	v2= 4.685235160318117
t= 37.19999999999996	v1= 0.4282250352630427	v2= 4.691530456850863
t= 37.39999999999996	v1= 0.4196605345577818	v2= 4.697699847507641
t= 37.599999999999966	v1= 0.4112673238666262	v2= 4.703745850393739
t= 37.79999999999997	v1= 0.40304197738929365	v2= 4.709670933255229
t= 37.99999999999997	v1= 0.3949811378415078	v2= 4.715477514485435
t= 38.199999999999974	v1= 0.38708151508467764	v2= 4.721167964111458
t= 38.39999999999997	v1= 0.3793398847829841	v2= 4.726744604761103
t= 38.59999999999997	v1= 0.3717530870873244	v2= 4.732209712610571
t= 38.799999999999976	v1= 0.36431802534557794	v2= 4.737565518313267
t= 38.99999999999998	v1= 0.3570316648386664	v2= 4.742814207910089
t= 39.19999999999998	v1= 0.34989103154189305	v2= 4.7479579237215495
t= 39.399999999999984	v1= 0.3428932109110552	v2= 4.752998765222086
t= 39.59999999999999	v1= 0.3360353466928341	v2= 4.757938789896911
t= 39.79999999999998	v1= 0.3293146397589774	v2= 4.762780014081733
t= 39.999999999999986	v1= 0.3227283469637979	v2= 4.767524413785713
t= 40.19999999999999	v1= 0.3162737800245219	v2= 4.772173925497951
t= 40.39999999999999	v1= 0.3139483044240312	v2= 4.776730446977865
t= 40.599999999999994	v1= 0.31566933833555044	v2= 4.781195838028796
t= 40.8	v1= 0.32135595156883934	v2= 4.785571921258257
t= 41.0	v1= 0.33092883253746247	v2= 4.789860482821481
t= 41.199999999999996	v1= 0.3443102558867132	v2= 4.794063273150027
t= 41.4	v1= 0.35742405076897893	v2= 4.798182007665486
t= 41.6	v1= 0.3702755697535994	v2= 4.802218367481515
t= 41.800000000000004	v1= 0.3828700583585274	v2= 4.806174000088551
t= 42.00000000000001	v1= 0.39521265719135684	v2= 4.810050520025956
t= 42.20000000000001	v1= 0.4073084040475297	v2= 4.813849509540642
t= 42.400000000000006	v1= 0.41916223596657914	v2= 4.8175725192323995
t= 42.60000000000001	v1= 0.43077899124724756	v2= 4.821221068686183
t= 42.80000000000001	v1= 0.4421634114223026	v2= 4.82479664709158
t= 43.000000000000014	v1= 0.45332014319385655	v2= 4.828300713849671
t= 43.20000000000002	v1= 0.4642537403299794	v2= 4.831734699167501
t= 43.40000000000002	v1= 0.4749686655233798	v2= 4.835100004640346
t= 43.60000000000002	v1= 0.4854692922129122	v2= 4.838398003821971
t= 43.80000000000002	v1= 0.49575990636865397	v2= 4.841630042783031
t= 44.00000000000002	v1= 0.5058447082412809	v2= 4.8447974406577865
t= 44.200000000000024	v1= 0.5157278140764553	v2= 4.847901490179274
t= 44.40000000000003	v1= 0.5254132577949262	v2= 4.850943458203058
t= 44.60000000000003	v1= 0.5349049926390277	v2= 4.8539245862196765
t= 44.80000000000003	v1= 0.5442068927862471	v2= 4.856846090855901
t= 45.000000000000036	v1= 0.5533227549305222	v2= 4.859709164364875
t= 45.20000000000003	v1= 0.5622562998319117	v2= 4.862514975105229
t= 45.400000000000034	v1= 0.5710111738352734	v2= 4.865264668009211
t= 45.60000000000004	v1= 0.579590950358568	v2= 4.867959365039925
t= 45.80000000000004	v1= 0.5879991313513966	v2= 4.870600165637672
t= 46.00000000000004	v1= 0.5962391487243687	v2= 4.873188147155471
t= 46.200000000000045	v1= 0.6043143657498813	v2= 4.875724365283765
t= 46.40000000000005	v1= 0.6122280784348837	v2= 4.878209854464354
t= 46.600000000000044	v1= 0.619983516866186	v2= 4.88064562829357
t= 46.80000000000005	v1= 0.6275838465288623	v2= 4.883032679914727
t= 47.00000000000005	v1= 0.6350321695982851	v2= 4.885371982399885
t= 47.20000000000005	v1= 0.6423315262063194	v2= 4.887664489120966
t= 47.400000000000055	v1= 0.649484895682193	v2= 4.889911134110282
t= 47.60000000000006	v1= 0.6564951977685491	v2= 4.89211283241055
t= 47.800000000000054	v1= 0.6633652938131782	v2= 4.89427048041449
t= 48.00000000000006	v1= 0.6700979879369147	v2= 4.89638495619412
t= 48.20000000000006	v1= 0.6766960281781764	v2= 4.898457119819907
t= 48.40000000000006	v1= 0.6831621076146129	v2= 4.900487813669954
t= 48.600000000000065	v1= 0.6894988654623206	v2= 4.902477862729425
t= 48.80000000000007	v1= 0.6957088881530742	v2= 4.904428074880493
t= 49.00000000000007	v1= 0.7017947103900127	v2= 4.906339241183075
t= 49.20000000000007	v1= 0.7077588161822125	v2= 4.908212136146723
t= 49.40000000000007	v1= 0.7136036398585682	v2= 4.910047517994031
t= 49.60000000000007	v1= 0.7193315670613969	v2= 4.911846128916007
t= 49.800000000000075	v1= 0.7249449357201689	v2= 4.913608695319868
t= 50.00000000000008	v1= 0.7304460370057656	v2= 4.915335928069779
t= 50.20000000000008	v1= 0.7358371162656487	v2= 4.917028522721096
t= 50.400000000000084	v1= 0.7371203739403341	v2= 4.918687159748704
t= 50.60000000000008	v1= 0.7343779664615258	v2= 4.9203125965748695
t= 50.80000000000008	v1= 0.7276904071322936	v2= 4.92190558224214
t= 51.000000000000085	v1= 0.7171365989896461	v2= 4.923466832314782
t= 51.20000000000009	v1= 0.7027938670098531	v2= 4.924997013659583
t= 51.40000000000009	v1= 0.688737989669656	v2= 4.926496744522172
t= 51.600000000000094	v1= 0.6749632298762629	v2= 4.927966583678295
t= 51.8000000000001	v1= 0.6614639652787376	v2= 4.929407095669259
t= 52.00000000000009	v1= 0.6482346859731629	v2= 4.9308188448337456
t= 52.200000000000095	v1= 0.6352699922536996	v2= 4.932202391523668
t= 52.4000000000001	v1= 0.6225645924086256	v2= 4.933558289719041
t= 52.6000000000001	v1= 0.6101133005604531	v2= 4.934887085542625
t= 52.800000000000104	v1= 0.597911034549244	v2= 4.936189316355662
t= 53.00000000000011	v1= 0.5859528138582591	v2= 4.937465510230424
t= 53.2000000000001	v1= 0.574233757581094	v2= 4.938716185667978
t= 53.400000000000105	v1= 0.5627490824294721	v2= 4.939941851476016
t= 53.60000000000011	v1= 0.5514941007808827	v2= 4.941143006751303
t= 53.80000000000011	v1= 0.5404642187652651	v2= 4.942320140930506
t= 54.000000000000114	v1= 0.5296549343899598	v2= 4.943473733885552
t= 54.20000000000012	v1= 0.5190618357021606	v2= 4.944604256047764
t= 54.40000000000012	v1= 0.5086805989881173	v2= 4.945712168550298
t= 54.600000000000115	v1= 0.498506987008355	v2= 4.946797923381895
t= 54.80000000000012	v1= 0.4885368472681879	v2= 4.947861963547274
t= 55.00000000000012	v1= 0.4787661103228242	v2= 4.948904723231005
t= 55.200000000000124	v1= 0.4691907881163677	v2= 4.949926627962746
t= 55.40000000000013	v1= 0.4598069723540404	v2= 4.950928094782411
t= 55.60000000000013	v1= 0.4506108329069596	v2= 4.951909532404295
t= 55.80000000000013	v1= 0.4415986162488204	v2= 4.9528713413795264
t= 56.00000000000013	v1= 0.432766643923844	v2= 4.9538139142563855
t= 56.20000000000013	v1= 0.42411131104536715	v2= 4.9547376357382396
t= 56.400000000000134	v1= 0.4156290848244598	v2= 4.955642882838884
t= 56.600000000000136	v1= 0.40731650312797063	v2= 4.956530025035196
t= 56.80000000000014	v1= 0.3991701730654112	v2= 4.957399424417036
t= 57.00000000000014	v1= 0.391186769604103	v2= 4.958251435834368
t= 57.200000000000145	v1= 0.3833630342120209	v2= 4.959086407041595
t= 57.40000000000014	v1= 0.3756957735277805	v2= 4.959904678839127
t= 57.60000000000014	v1= 0.36818185805722486	v2= 4.960706585212203
t= 57.800000000000146	v1= 0.36081822089608034	v2= 4.961492453467
t= 58.00000000000015	v1= 0.3536018564781587	v2= 4.962262604364066
t= 58.20000000000015	v1= 0.34652981934859556	v2= 4.963017352249123
t= 58.400000000000155	v1= 0.33959922296162365	v2= 4.963757005181273
t= 58.60000000000015	v1= 0.3328072385023912	v2= 4.964481865058673
t= 58.80000000000015	v1= 0.32615109373234336	v2= 4.965192227741696
t= 59.000000000000156	v1= 0.3196280718576965	v2= 4.965888383173651
t= 59.20000000000016	v1= 0.31323551042054254	v2= 4.966570615499094
t= 59.40000000000016	v1= 0.3069708002121317	v2= 4.967239203179782
t= 59.600000000000165	v1= 0.3008313842078891	v2= 4.967894419108303
t= 59.80000000000017	v1= 0.2948147565237313	v2= 4.968536530719455
t= 60.00000000000016	v1= 0.28891846139325666	v2= 4.9691658000993835
t= 60.200000000000166	v1= 0.2831400921653948	v2= 4.969782484092547
t= 60.40000000000017	v1= 0.28147729032209023	v2= 4.970386834406546
t= 60.60000000000017	v1= 0.2838477445156518	v2= 4.970979097714447
t= 60.800000000000175	v1= 0.2901707896253422	v2= 4.971559515755928
t= 61.00000000000018	v1= 0.30036737383283885	v2= 4.972128325435794
t= 61.20000000000018	v1= 0.3143600263561821	v2= 4.97268575892048
t= 61.400000000000176	v1= 0.32807282582905845	v2= 4.973232043732452
t= 61.60000000000018	v1= 0.3415113693124773	v2= 4.97376740284389
t= 61.80000000000018	v1= 0.35468114192622774	v2= 4.9742920547670355
t= 62.000000000000185	v1= 0.3675875190877032	v2= 4.974806213643217
t= 62.20000000000019	v1= 0.38023576870594916	v2= 4.975310089330043
t= 62.40000000000019	v1= 0.3926310533318302	v2= 4.975803887486783
t= 62.60000000000019	v1= 0.40477843226519356	v2= 4.976287809657944
t= 62.80000000000019	v1= 0.4166828636198897	v2= 4.9767620533550865
t= 63.00000000000019	v1= 0.4283492063474919	v2= 4.977226812136848
t= 63.200000000000195	v1= 0.4397822222205421	v2= 4.977682275687216
t= 63.4000000000002	v1= 0.45098657777613127	v2= 4.978128629892023
t= 63.6000000000002	v1= 0.46196684622060863	v2= 4.97856605691367
t= 63.8000000000002	v1= 0.47272750929619645	v2= 4.9789947352640525
t= 64.0000000000002	v1= 0.4832729591102725	v2= 4.9794148398756715
t= 64.2000000000002	v1= 0.4936074999280671	v2= 4.979826542170896
t= 64.4000000000002	v1= 0.5037353499295057	v2= 4.980230010129336
t= 64.60000000000021	v1= 0.5136606429309156	v2= 4.980625408353277
t= 64.80000000000021	v1= 0.5233874300722973	v2= 4.981012898131111
t= 65.00000000000021	v1= 0.5329196814708513	v2= 4.9813926374987
t= 65.20000000000022	v1= 0.5422612878414343	v2= 4.98176478129859
t= 65.40000000000022	v1= 0.5514160620846057	v2= 4.982129481236989
t= 65.60000000000022	v1= 0.5603877408429135	v2= 4.982486885938398
t= 65.80000000000022	v1= 0.5691799860260552	v2= 4.982837140997804
t= 66.00000000000023	v1= 0.5777963863055341	v2= 4.983180389030308
t= 66.20000000000022	v1= 0.5862404585794234	v2= 4.983516769718076
t= 66.40000000000022	v1= 0.594515649407835	v2= 4.9838464198544665
t= 66.60000000000022	v1= 0.6026253364196783	v2= 4.984169473385236
t= 66.80000000000022	v1= 0.6105728296912848	v2= 4.984486061446664
