RC circuit simulation with Forward_Euler :************************************************
t= 0.0	v1= 2.5	v2= 2.5
t= 1.0	v1= 2.25	v2= 0.7113535499524757
t= 2.0	v1= 2.125	v2= -0.22465582702082054
t= 3.0000000000000004	v1= 2.0125	v2= 1.0454117284150035
t= 4.0	v1= 1.9112500000000001	v2= 0.5120121146957444
t= 5.0	v1= 1.820125	v2= 0.23982506946956395
t= 6.0	v1= 1.7381125	v2= 0.3131245114570764
t= 7.0	v1= 1.6643012499999998	v2= 0.36556582838686047
t= 8.0	v1= 1.597871125	v2= 0.450170839001356
t= 9.000000000000002	v1= 1.5380840125	v2= 0.582198494941012
t= 10.000000000000002	v1= 1.48427561125	v2= 0.7615916747852419
t= 11.000000000000002	v1= 1.4358480501249997	v2= 0.9728434279425084
t= 12.000000000000004	v1= 1.2922632451124998	v2= 1.2032738736456476
t= 13.000000000000004	v1= 1.1630369206012499	v2= 1.5047884309925585
t= 14.000000000000005	v1= 1.0467332285411248	v2= 1.8278518074861059
t= 15.000000000000005	v1= 0.9420599056870124	v2= 2.1394869977230706
t= 16.000000000000004	v1= 0.8478539151183111	v2= 2.4248263111157984
t= 17.000000000000004	v1= 0.76306852360648	v2= 2.6822700969906106
t= 18.000000000000004	v1= 0.686761671245832	v2= 2.91403493935363
t= 19.0	v1= 0.6180855041212487	v2= 3.122630373772331
t= 20.0	v1= 0.5562769537091239	v2= 3.3103671662250163
t= 21.0	v1= 0.5006492583382115	v2= 3.4793304172718753
t= 22.0	v1= 0.5505843325043903	v2= 3.631397368304215
t= 22.999999999999996	v1= 0.5955258992539513	v2= 3.7682576037320037
t= 23.999999999999996	v1= 0.6359733093285561	v2= 3.891431750512045
t= 24.999999999999996	v1= 0.6723759783957005	v2= 4.00228830045043
t= 25.999999999999993	v1= 0.7051383805561304	v2= 4.102058741013202
t= 26.999999999999993	v1= 0.7346245425005173	v2= 4.191851116464717
t= 27.999999999999993	v1= 0.7611620882504656	v2= 4.272662167770602
t= 28.999999999999993	v1= 0.785045879425419	v2= 4.345388202895648
t= 29.99999999999999	v1= 0.8065412914828771	v2= 4.410834858236225
t= 30.999999999999993	v1= 0.8258871623345894	v2= 4.4697259173674615
t= 31.999999999999996	v1= 0.743298446101131	v2= 4.52271134493882
t= 33.0	v1= 0.6689686014910179	v2= 4.570435380492485
t= 34.0	v1= 0.6020717413419161	v2= 4.613391176626856
t= 35.0	v1= 0.5418645672077245	v2= 4.652051948268108
t= 36.00000000000001	v1= 0.48767811048695203	v2= 4.686846731498527
t= 37.00000000000001	v1= 0.4389102994382568	v2= 4.71816205324145
t= 38.00000000000001	v1= 0.3950192694944311	v2= 4.746345846542705
t= 39.000000000000014	v1= 0.355517342544988	v2= 4.771711261466661
t= 40.000000000000014	v1= 0.3199656082904892	v2= 4.794540135174364
t= 41.000000000000014	v1= 0.2879690474614417	v2= 4.815086121601004
t= 42.00000000000002	v1= 0.3591721427152975	v2= 4.833577509417272
t= 43.00000000000002	v1= 0.4232549284437678	v2= 4.850219758314856
t= 44.00000000000002	v1= 0.480929435599391	v2= 4.8651977815814496
