RC circuit simulation with RK34_adaptive :************************************************
t= 0.0	v1= 2.5	v2= 2.5
t= 0.2	v1= 2.45247821875	v2= 2.183072950974399
t= 0.4	v1= 2.409857800075454	v2= 1.8927609927161848
t= 0.6	v1= 2.3720416884567435	v2= 1.6256497784907964
t= 0.8	v1= 2.338934750242658	v2= 1.378456134337144
t= 1.0	v1= 2.310443735594051	v2= 1.1480630360768052
t= 1.2	v1= 2.284494666181079	v2= 0.9341629653596945
t= 1.4	v1= 2.259059433558738	v2= 0.735917417807572
t= 1.5999999999999999	v1= 2.234127862863212	v2= 0.568884324525031
t= 1.7999999999999998	v1= 2.2096899807107193	v2= 0.4397751257574628
t= 1.9999999999999998	v1= 2.185736011207856	v2= 0.3492049152039149
t= 2.1999999999999997	v1= 2.162256372040941	v2= 0.2897655001817408
t= 2.4	v1= 2.139241670642802	v2= 0.2526632508529009
t= 2.6	v1= 2.1166827004354634	v2= 0.230601409346804
t= 2.8000000000000003	v1= 2.094570437147236	v2= 0.21832320374951833
t= 3.0000000000000004	v1= 2.0728960352027337	v2= 0.21224932793059284
t= 3.2000000000000006	v1= 2.051650824184378	v2= 0.21019707196134446
t= 3.400000000000001	v1= 2.0308263053639664	v2= 0.21084944199271624
t= 3.600000000000001	v1= 2.0104141483029228	v2= 0.21338927554922146
t= 3.800000000000001	v1= 1.9904061875198715	v2= 0.21697318431505447
t= 4.000000000000001	v1= 1.9707944192241964	v2= 0.22130765034537078
t= 4.200000000000001	v1= 1.951570998114282	v2= 0.22621346341606743
t= 4.400000000000001	v1= 1.932728234239155	v2= 0.23158306956620975
t= 4.600000000000001	v1= 1.9142585899222715	v2= 0.23735453519825006
t= 4.800000000000002	v1= 1.8961546767462176	v2= 0.24349564766641582
t= 5.000000000000002	v1= 1.8784092525971183	v2= 0.24999422342363783
t= 5.200000000000002	v1= 1.8610152187675728	v2= 0.25685225638570824
t= 5.400000000000002	v1= 1.843965617116956	v2= 0.26408248483744207
t= 5.600000000000002	v1= 1.8272536272879525	v2= 0.2717065277159701
t= 5.8000000000000025	v1= 1.8108725639782055	v2= 0.27975409076645724
t= 6.000000000000003	v1= 1.7948158742659943	v2= 0.28826296068935914
t= 6.200000000000003	v1= 1.7790771349888668	v2= 0.29727964496379444
t= 6.400000000000003	v1= 1.7636500501741794	v2= 0.3068606074036406
t= 6.600000000000003	v1= 1.7485284485205181	v2= 0.3170741092287233
t= 6.800000000000003	v1= 1.7337062809289903	v2= 0.32800269127170073
t= 7.0000000000000036	v1= 1.7191776180834017	v2= 0.3397463006718254
t= 7.200000000000003	v1= 1.704936648078351	v2= 0.3524259093273852
t= 7.400000000000003	v1= 1.6909776740942903	v2= 0.36618705303342713
t= 7.600000000000003	v1= 1.6772951121186264	v2= 0.3812018086326648
t= 7.800000000000003	v1= 1.6638834887119447	v2= 0.3976661202781513
t= 8.000000000000004	v1= 1.650737438818469	v2= 0.41578755060286643
t= 8.200000000000005	v1= 1.637851703619876	v2= 0.43575905913629953
t= 8.400000000000004	v1= 1.625221128431609	v2= 0.4577221245864004
t= 8.600000000000005	v1= 1.6128406606408467	v2= 0.4817365600770277
t= 8.800000000000004	v1= 1.6007053476853068	v2= 0.5077775739233498
t= 9.000000000000005	v1= 1.5888103350720695	v2= 0.5357600294902555
t= 9.200000000000005	v1= 1.5771508644356336	v2= 0.5655692447082381
t= 9.400000000000004	v1= 1.5657222716344268	v2= 0.5970819926413952
t= 9.600000000000005	v1= 1.5545199848850069	v2= 0.6301762281759397
t= 9.800000000000004	v1= 1.54353952293321	v2= 0.664734433083646
t= 10.000000000000005	v1= 1.5327764932615138	v2= 0.7006444409910338
t= 10.200000000000005	v1= 1.5202440153318961	v2= 0.738323004997351
t= 10.400000000000006	v1= 1.5039993538031278	v2= 0.7785252414752769
t= 10.600000000000005	v1= 1.4841160163789517	v2= 0.8216976282005986
t= 10.800000000000006	v1= 1.46066605518249	v2= 0.8681814805556853
t= 11.000000000000005	v1= 1.4337200955792755	v2= 0.9182037180902637
t= 11.200000000000006	v1= 1.4053299394295393	v2= 0.9714760143549425
t= 11.400000000000006	v1= 1.377501957841415	v2= 1.0274087076693494
t= 11.600000000000007	v1= 1.3502250187789935	v2= 1.0856055335873571
t= 11.800000000000006	v1= 1.3234882106400743	v2= 1.1456941237112837
t= 12.000000000000007	v1= 1.2972808378911937	v2= 1.2073248072040816
t= 12.200000000000006	v1= 1.2715924167890882	v2= 1.270169592765649
t= 12.400000000000007	v1= 1.246412671186878	v2= 1.3339213874580322
t= 12.600000000000007	v1= 1.2217315284232981	v2= 1.3982935178688845
t= 12.800000000000008	v1= 1.1975391152933286	v2= 1.4630196194729077
t= 13.000000000000007	v1= 1.1738257540986123	v2= 1.527853943603694
t= 13.200000000000008	v1= 1.1505819587760833	v2= 1.5925720889532493
t= 13.400000000000007	v1= 1.1277984311032536	v2= 1.656972089627695
t= 13.600000000000007	v1= 1.105466056978643	v2= 1.7208756882043543
t= 13.800000000000008	v1= 1.0835759027758616	v2= 1.7841295116667653
t= 14.000000000000007	v1= 1.062119211769889	v2= 1.8466057923394439
t= 14.200000000000008	v1= 1.0410874006341186	v2= 1.9082022844672741
t= 14.400000000000007	v1= 1.0204720560067675	v2= 1.9688411486231363
t= 14.600000000000009	v1= 1.0002649311252758	v2= 2.0284667897413633
t= 14.800000000000008	v1= 0.9804579425273529	v2= 2.0870428670077943
t= 15.000000000000009	v1= 0.9610431668173464	v2= 2.1445488556092367
t= 15.200000000000006	v1= 0.9420128374966448	v2= 2.2009765777534187
t= 15.400000000000006	v1= 0.9233593418568419	v2= 2.256327042267028
t= 15.600000000000003	v1= 0.9050752179344232	v2= 2.3106077933060516
t= 15.800000000000002	v1= 0.8871531515257545	v2= 2.3638308306107367
t= 16.0	v1= 0.869585973261178	v2= 2.4160110643918657
t= 16.2	v1= 0.8523666557370483	v2= 2.4671652162906694
t= 16.4	v1= 0.8354883107045571	v2= 2.5173110641104426
t= 16.599999999999998	v1= 0.8189441863142255	v2= 2.5664669366837844
t= 16.799999999999994	v1= 0.8027276644149591	v2= 2.6146513832323235
t= 16.999999999999993	v1= 0.7868322579065877	v2= 2.66188296075046
t= 17.199999999999992	v1= 0.7712516081448278	v2= 2.708180099452582
t= 17.39999999999999	v1= 0.755979482397633	v2= 2.753561019037696
t= 17.599999999999987	v1= 0.7410097713519118	v2= 2.798043677671735
t= 17.799999999999986	v1= 0.7263364866696174	v2= 2.8416457418785726
t= 17.999999999999986	v1= 0.7119537585922309	v2= 2.884384569728068
t= 18.199999999999985	v1= 0.6978558335926803	v2= 2.926277202452877
t= 18.399999999999984	v1= 0.6840370720737552	v2= 2.9673403613942675
t= 18.59999999999998	v1= 0.6704919461120967	v2= 3.007590448307241
t= 18.79999999999998	v1= 0.6572150372468611	v2= 3.047043547773558
t= 18.99999999999998	v1= 0.6442010343121709	v2= 3.085715430926744
t= 19.199999999999978	v1= 0.6314447313124877	v2= 3.1236215599818036
t= 19.399999999999974	v1= 0.6189410253400561	v2= 3.1607770932455144
t= 19.599999999999973	v1= 0.6066849145335864	v2= 3.197196890399635
t= 19.799999999999972	v1= 0.5946714960773578	v2= 3.2328955179236263
t= 19.99999999999997	v1= 0.5828959642399442	v2= 3.267887254571064
t= 20.19999999999997	v1= 0.5733361834517752	v2= 3.3021860962055483
t= 20.399999999999967	v1= 0.5679260514811297	v2= 3.3358057618047603
t= 20.599999999999966	v1= 0.566583398050658	v2= 3.36875969930666
t= 20.799999999999965	v1= 0.5692276799976833	v2= 3.4010610903302805
t= 20.999999999999964	v1= 0.5757799490544961	v2= 3.4327228551107267
t= 21.19999999999996	v1= 0.5841802452666557	v2= 3.4637576583702794
t= 21.39999999999996	v1= 0.5924142009762985	v2= 3.494177914729924
t= 21.59999999999996	v1= 0.6004851100152225	v2= 3.5239957924823777
t= 21.799999999999958	v1= 0.608396200991617	v2= 3.5532232188158255
t= 21.999999999999954	v1= 0.6161506385816027	v2= 3.5818718845648925
t= 22.199999999999953	v1= 0.6237515247951992	v2= 3.6099532488648625
t= 22.399999999999952	v1= 0.6312019002172223	v2= 3.637478543710902
t= 22.59999999999995	v1= 0.6385047452236102	v2= 3.664458778424023
t= 22.79999999999995	v1= 0.6456629811736642	v2= 3.690904744025507
t= 22.999999999999947	v1= 0.6526794715786809	v2= 3.7168270175214944
t= 23.199999999999946	v1= 0.6595570232474438	v2= 3.74223596609943
t= 23.399999999999945	v1= 0.6662983874090314	v2= 3.7671417512380687
t= 23.599999999999945	v1= 0.6729062608133924	v2= 3.7915543327327166
