RC circuit simulation with RK34_adaptive :************************************************
t= 0.0	v1= 2.5	v2= 2.5
t= 1.0	v1= 2.3102108533112893	v2= 1.2995376387702613
t= 2.0	v1= 2.18546035523593	v2= 0.7810649364367341
t= 3.0000000000000004	v1= 2.072587858881224	v2= 0.5598504671666523
t= 4.0	v1= 1.970462411448966	v2= 0.3115533161147385
t= 5.0	v1= 1.8780607427513634	v2= 0.28063810975021053
t= 6.0	v1= 1.7944570123122388	v2= 0.31863033941732627
t= 7.0	v1= 1.718813532688378	v2= 0.37563401367526317
t= 8.0	v1= 1.650372376061141	v2= 0.4899840907736424
t= 9.000000000000002	v1= 1.588447779998582	v2= 0.6327282924478542
t= 10.000000000000002	v1= 1.5324192762958109	v2= 0.8156644674802616
t= 11.000000000000002	v1= 1.4335447366790057	v2= 1.0623289285802817
t= 12.000000000000004	v1= 1.2970511185243048	v2= 1.374929559826134
t= 13.000000000000004	v1= 1.1735536122594368	v2= 1.6994713802460477
t= 14.000000000000005	v1= 1.061814805274666	v2= 2.0103627760683827
t= 15.000000000000005	v1= 0.9607151040418187	v2= 2.2945477964689314
t= 16.000000000000004	v1= 0.869241516080887	v2= 2.552089798693788
t= 17.000000000000004	v1= 0.7864775000411667	v2= 2.7851584625643833
t= 18.000000000000004	v1= 0.7115937821974032	v2= 2.9960415420821356
t= 19.0	v1= 0.6438400473446483	v2= 3.186846400050172
t= 20.0	v1= 0.582537420836772	v2= 3.359484086317392
t= 21.0	v1= 0.5753600475745441	v2= 3.515684223616437
t= 22.0	v1= 0.6157917425447784	v2= 3.6570116942219046
t= 22.999999999999996	v1= 0.652373771583136	v2= 3.784882400905538
t= 23.999999999999996	v1= 0.6854726770222586	v2= 3.900577151159119
t= 24.999999999999996	v1= 0.7154201012102189	v2= 4.0052544143010484
t= 25.999999999999993	v1= 0.7425161094798328	v2= 4.099961774158768
t= 26.999999999999993	v1= 0.7670321967245631	v2= 4.185646270520392
t= 27.999999999999993	v1= 0.7892140077061183	v2= 4.263163771200774
t= 28.999999999999993	v1= 0.8092837983505125	v2= 4.333287510785246
t= 29.99999999999999	v1= 0.8274426626941294	v2= 4.396715915260507
t= 30.999999999999993	v1= 0.7956181917836189	v2= 4.4541420549962485
