RC circuit simulation with RK4 :************************************************
t= 0.0	v1= 2.5	v2= 2.5
t= 1.0	v1= 2.30982421875	v2= 1.0391638898452704
t= 2.0	v1= 2.185110533721924	v2= 0.25983146632316856
t= 3.0000000000000004	v1= 2.072271345294716	v2= 0.19314621063648002
t= 4.0	v1= 1.970176034406866	v2= 0.21297983915459293
t= 5.0	v1= 1.8778016328308484	v2= 0.24253266005972307
t= 6.0	v1= 1.79422257329989	v2= 0.27922965499676966
t= 7.0	v1= 1.7186014155668035	v2= 0.3276047037604948
t= 8.0	v1= 1.6501804554724373	v2= 0.3976944660192069
t= 9.000000000000002	v1= 1.5882741329488061	v2= 0.5082594578381529
t= 10.000000000000002	v1= 1.5322621628870852	v2= 0.6650503193959013
t= 11.000000000000002	v1= 1.433723945043569	v2= 0.8735326923627064
t= 12.000000000000004	v1= 1.297213263732444	v2= 1.1492359818762574
t= 13.000000000000004	v1= 1.1737003189635942	v2= 1.4653339556628082
t= 14.000000000000005	v1= 1.0619475434375245	v2= 1.7857676743060367
t= 15.000000000000005	v1= 0.9608352036649426	v2= 2.08843492236225
t= 16.000000000000004	v1= 0.8693501805309886	v2= 2.3651851383778584
t= 17.000000000000004	v1= 0.7865758181075247	v2= 2.6160013244965734
t= 18.000000000000004	v1= 0.7116827390012462	v2= 2.8429846951321562
t= 19.0	v1= 0.6439205342098104	v2= 3.0483619018559422
t= 20.0	v1= 0.5826102442205241	v2= 3.2341851254655998
t= 21.0	v1= 0.5749969310141708	v2= 3.402315476216426
t= 22.0	v1= 0.6154631997872794	v2= 3.554437415924931
t= 22.999999999999996	v1= 0.6520765107162834	v2= 3.692075039840904
t= 23.999999999999996	v1= 0.6852037195701612	v2= 3.8166072279156293
t= 24.999999999999996	v1= 0.7151767522897754	v2= 3.929281338845766
t= 25.999999999999993	v1= 0.7422959307987097	v2= 4.031225579459055
t= 26.999999999999993	v1= 0.7668329821501457	v2= 4.123460154307971
t= 27.999999999999993	v1= 0.7890337611606404	v2= 4.206907332641361
t= 28.999999999999993	v1= 0.8091207138108811	v2= 4.282400571769954
t= 29.99999999999999	v1= 0.8272951060960473	v2= 4.350692830413898
