RC circuit simulation with RK34_adaptive :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 0.2	v1= 0.001973261099633511	v2= 4.032681048891534E-5
t= 0.4	v1= 0.007790547583498937	v2= 1.9965977486241106E-4
t= 0.6	v1= 0.01730385460931694	v2= 5.503097886564072E-4
t= 0.8	v1= 0.03037242329614461	v2= 0.0011601012408645338
t= 1.0	v1= 0.04686247382907158	v2= 0.002087886352605895
t= 1.2	v1= 0.06468248292035833	v2= 0.0033628885138125824
t= 1.4	v1= 0.08183158921180865	v2= 0.004933131146765151
t= 1.5999999999999999	v1= 0.09834164938863824	v2= 0.006782011230720614
t= 1.7999999999999998	v1= 0.11424295780391047	v2= 0.00889231119610926
t= 1.9999999999999998	v1= 0.12956429563415295	v2= 0.01122893662683511
t= 2.1999999999999997	v1= 0.14433264629306136	v2= 0.013758261019075253
t= 2.4	v1= 0.15857329380461266	v2= 0.01646262070409609
t= 2.6	v1= 0.17231019596517586	v2= 0.019325501851115756
t= 2.8000000000000003	v1= 0.18556605820117608	v2= 0.022331471522187906
t= 3.0000000000000004	v1= 0.19836240321922888	v2= 0.025466112756459245
t= 3.2000000000000006	v1= 0.21071963669039448	v2= 0.028715963450323748
t= 3.400000000000001	v1= 0.22265710919628415	v2= 0.03206845881348546
t= 3.600000000000001	v1= 0.2341931746516341	v2= 0.03551187719365199
t= 3.800000000000001	v1= 0.24534524540560373	v2= 0.0390352890745575
t= 4.000000000000001	v1= 0.2561298442124069	v2= 0.042628509063299604
t= 4.200000000000001	v1= 0.2665626532509108	v2= 0.04628205069360838
t= 4.400000000000001	v1= 0.2766585603624918	v2= 0.049987083881686226
t= 4.600000000000001	v1= 0.2864317026666946	v2= 0.05373539488069906
t= 4.800000000000002	v1= 0.29589550770505124	v2= 0.05751934858889611
t= 5.000000000000002	v1= 0.3050627322547667	v2= 0.06133185307471906
t= 5.200000000000002	v1= 0.31394549894581686	v2= 0.06516632619016052
