RC circuit simulation with RK34_adaptive :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 1.0	v1= 0.04682522188602347	v2= 0.0044218391249484495
t= 2.0	v1= 0.12951039675473744	v2= 0.0160365671218078
t= 3.0000000000000004	v1= 0.198450258771734	v2= 0.03197043830463713
t= 4.0	v1= 0.2564006573041716	v2= 0.05034239951761573
t= 5.0	v1= 0.30558692416369243	v2= 0.06992338924069763
t= 6.0	v1= 0.34772907396594055	v2= 0.0898981005141297
t= 7.0	v1= 0.3841583685012416	v2= 0.1098469249289558
t= 8.0	v1= 0.4159257983334922	v2= 0.1288732223331811
t= 9.000000000000002	v1= 0.44362524889057897	v2= 0.14680483898250812
t= 10.000000000000002	v1= 0.46787994970966934	v2= 0.16355175598936708
t= 11.000000000000002	v1= 0.4420154772501735	v2= 0.1736527011577886
t= 12.000000000000004	v1= 0.3777394770804012	v2= 0.1751429027749178
t= 13.000000000000004	v1= 0.32511582477753675	v2= 0.1717836423189771
t= 14.000000000000005	v1= 0.28163254454152314	v2= 0.16520927012255698
t= 15.000000000000005	v1= 0.2453699667096153	v2= 0.1565944541696669
t= 16.000000000000004	v1= 0.21485497703179934	v2= 0.14676693378283204
t= 17.000000000000004	v1= 0.1889511415447049	v2= 0.1362794461995174
t= 18.000000000000004	v1= 0.1667748021917411	v2= 0.1258243582603434
t= 19.0	v1= 0.14766074795198453	v2= 0.1156490240343704
t= 20.0	v1= 0.13108500345984933	v2= 0.1059134908062851
t= 21.0	v1= 0.16361123653323764	v2= 0.10183595431728372
t= 22.0	v1= 0.23384679125054786	v2= 0.1057570000756365
t= 22.999999999999996	v1= 0.29181967248990437	v2= 0.11418663819392036
t= 23.999999999999996	v1= 0.3401442383078928	v2= 0.1253257671073556
t= 24.999999999999996	v1= 0.38081922163306486	v2= 0.13811558199768226
t= 25.999999999999993	v1= 0.4153916998111998	v2= 0.1518931110059778
t= 26.999999999999993	v1= 0.4450735517862865	v2= 0.16584988414958257
t= 27.999999999999993	v1= 0.4706448345313137	v2= 0.17943778803203642
t= 28.999999999999993	v1= 0.4927908704037412	v2= 0.19243931548227858
t= 29.99999999999999	v1= 0.5120724414582128	v2= 0.20472199953944
t= 30.999999999999993	v1= 0.48187513915321206	v2= 0.21094204992974364
t= 31.999999999999996	v1= 0.4136685052219188	v2= 0.20882527244278906
t= 33.0	v1= 0.3575042356454928	v2= 0.2021736844722665
t= 34.0	v1= 0.31082735666397043	v2= 0.19259040168601904
t= 35.0	v1= 0.27168048030958836	v2= 0.18121549396798306
t= 36.00000000000001	v1= 0.23855684767549942	v2= 0.16883373053944667
t= 37.00000000000001	v1= 0.2102890560428157	v2= 0.1561849269163935
t= 38.00000000000001	v1= 0.1859838023888446	v2= 0.14377698882418785
t= 39.000000000000014	v1= 0.16495227752729483	v2= 0.131837667581086
t= 40.000000000000014	v1= 0.14664947078160107	v2= 0.12050915576845883
t= 41.000000000000014	v1= 0.17766096571378928	v2= 0.11505698991967181
t= 42.00000000000002	v1= 0.24651763403565197	v2= 0.11778193289346935
t= 43.00000000000002	v1= 0.30325700818554135	v2= 0.12504654670708665
t= 44.00000000000002	v1= 0.3504690457917501	v2= 0.13514167554952825
t= 45.00000000000003	v1= 0.3901402617151564	v2= 0.14698995211390625
t= 46.00000000000003	v1= 0.423806478216375	v2= 0.15990422697902595
t= 47.00000000000003	v1= 0.45266909625773905	v2= 0.17306387964374942
t= 48.000000000000036	v1= 0.4774856389490861	v2= 0.18593406313343872
t= 49.000000000000036	v1= 0.49895185654082325	v2= 0.19828934011170166
t= 50.000000000000036	v1= 0.5176211121640593	v2= 0.209990110772925
t= 51.00000000000004	v1= 0.4868884514139567	v2= 0.21570456579713487
t= 52.00000000000004	v1= 0.41819353710452617	v2= 0.21312033984997786
t= 53.00000000000004	v1= 0.3615877180582524	v2= 0.20604329932367754
t= 54.00000000000005	v1= 0.31451124902852073	v2= 0.19607185329801013
t= 55.00000000000005	v1= 0.2750024564300448	v2= 0.18434085183065646
t= 56.00000000000005	v1= 0.2415506548467616	v2= 0.17162841824582406
t= 57.00000000000006	v1= 0.2129846964560052	v2= 0.15870533417500032
t= 58.00000000000006	v1= 0.18841078980657136	v2= 0.1460496961348255
t= 59.00000000000006	v1= 0.1671372026708336	v2= 0.13388672545105512
t= 60.000000000000064	v1= 0.1486163082077097	v2= 0.12235631848076775
t= 61.00000000000006	v1= 0.179436490460457	v2= 0.11673073721652619
t= 62.00000000000005	v1= 0.2481191813766515	v2= 0.11930406957037318
t= 63.00000000000005	v1= 0.30470282656113806	v2= 0.1264211699434658
