RC circuit simulation with RK4 :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 0.2	v1= 0.0019653750000000005	v2= 1.7200000000000005E-5
t= 0.4	v1= 0.007776112453805313	v2= 1.1012760655775003E-4
t= 0.6	v1= 0.017283605866917046	v2= 3.497448984775261E-4
t= 0.8	v1= 0.030346412058296086	v2= 8.013881358299658E-4
t= 1.0	v1= 0.04682986347582041	v2= 0.0015251249994201147
t= 1.2	v1= 0.06464032750783638	v2= 0.002558890437026966
t= 1.4	v1= 0.08177562406738875	v2= 0.0038946747675290263
t= 1.5999999999999999	v1= 0.09826790656296043	v2= 0.005507713574530258
t= 1.7999999999999998	v1= 0.11414759760947618	v2= 0.0073748269202741044
t= 1.9999999999999998	v1= 0.12944348702868508	v2= 0.009474324242551421
t= 2.1999999999999997	v1= 0.14418282419704265	v2= 0.011785914846737225
t= 2.4	v1= 0.15839140506922927	v2= 0.014290623665955985
t= 2.6	v1= 0.17209365418634986	v2= 0.01697071198144367
t= 2.8000000000000003	v1= 0.18531270195988103	v2= 0.019809602813132154
t= 3.0000000000000004	v1= 0.1980704575054988	v2= 0.02279181070739266
t= 3.2000000000000006	v1= 0.21038767728497346	v2= 0.025902875664800384
t= 3.400000000000001	v1= 0.22228402979929962	v2= 0.029129300965780185
t= 3.600000000000001	v1= 0.23377815656208567	v2= 0.032458494666116694
t= 3.800000000000001	v1= 0.2448877295689064	v2= 0.035878714547612794
t= 4.000000000000001	v1= 0.25562950546577723	v2= 0.039379016321706026
t= 4.200000000000001	v1= 0.2660193766080941	v2= 0.042949204895647755
t= 4.400000000000001	v1= 0.2760724191902562	v2= 0.046579788521958314
t= 4.600000000000001	v1= 0.2858029386157089	v2= 0.050261935662331864
t= 4.800000000000002	v1= 0.29522451226727614	v2= 0.05398743440701594
t= 5.000000000000002	v1= 0.3043500298283565	v2= 0.05774865429996753
t= 5.200000000000002	v1= 0.3131917312968024	v2= 0.06153851042882374
t= 5.400000000000002	v1= 0.32176124282506025	v2= 0.06535042964695228
t= 5.600000000000002	v1= 0.3300696105123829	v2= 0.0691783188025945
t= 5.8000000000000025	v1= 0.3381273322676146	v2= 0.07301653485740943
t= 6.000000000000003	v1= 0.34594438785416154	v2= 0.07685985678359854
t= 6.200000000000003	v1= 0.353530267222276	v2= 0.08070345913526018
t= 6.400000000000003	v1= 0.360893997227672	v2= 0.08454288719571675
t= 6.600000000000003	v1= 0.36804416682974017	v2= 0.08837403360829438
t= 6.800000000000003	v1= 0.374988950857208	v2= 0.09219311640343916
t= 7.0000000000000036	v1= 0.38173613242399257	v2= 0.09599665834014158
t= 7.200000000000003	v1= 0.38829312407318367	v2= 0.09978146748443274
t= 7.400000000000003	v1= 0.3946669877225715	v2= 0.10354461895222832
t= 7.600000000000003	v1= 0.400864453480869	v2= 0.10728343774804515
t= 7.800000000000003	v1= 0.4068919373997642	v2= 0.110995482635117
t= 8.000000000000004	v1= 0.41275555822315724	v2= 0.11467853097620388
t= 8.200000000000005	v1= 0.41846115319137533	v2= 0.11833056448793802
t= 8.400000000000004	v1= 0.4240142929548043	v2= 0.12194975585489062
t= 8.600000000000005	v1= 0.4294202956482175	v2= 0.12553445615269046
t= 8.800000000000004	v1= 0.43468424017410684	v2= 0.12908318303248814
t= 9.000000000000005	v1= 0.4398109787405191	v2= 0.13259460962185035
t= 9.200000000000005	v1= 0.4448051486962612	v2= 0.1360675540997956
t= 9.400000000000004	v1= 0.4496711837038528	v2= 0.13950096990615746
t= 9.600000000000005	v1= 0.45441332428826336	v2= 0.14289393654779098
t= 9.800000000000004	v1= 0.4590356277972663	v2= 0.14624565096633213
t= 10.000000000000005	v1= 0.4635419778071652	v2= 0.14955541943428574
t= 10.200000000000005	v1= 0.4659707180056922	v2= 0.15280544994816328
t= 10.400000000000006	v1= 0.46444542312823084	v2= 0.15593671748266555
t= 10.600000000000005	v1= 0.4591181132853054	v2= 0.15887785042561514
t= 10.800000000000006	v1= 0.4501335041881366	v2= 0.16156318458334085
t= 11.000000000000005	v1= 0.43762940190749317	v2= 0.16393240004482876
t= 11.200000000000006	v1= 0.423702450247037	v2= 0.16594737980518903
t= 11.400000000000006	v1= 0.4103577194768112	v2= 0.16761601647555188
t= 11.600000000000007	v1= 0.3975658313339876	v2= 0.1689630175272838
t= 11.800000000000006	v1= 0.38529902895685486	v2= 0.1700115615204442
t= 12.000000000000007	v1= 0.37353108422152814	v2= 0.17078338893561648
t= 12.200000000000006	v1= 0.36223721044077895	v2= 0.17129888767988471
t= 12.400000000000007	v1= 0.35139398011335715	v2= 0.17157717357786637
t= 12.600000000000007	v1= 0.3409792474303142	v2= 0.1716361661405878
t= 12.800000000000008	v1= 0.33097207526191763	v2= 0.17149265988792237
t= 13.000000000000007	v1= 0.32135266636483467	v2= 0.1711623914842375
t= 13.200000000000008	v1= 0.3121022985644113	v2= 0.17066010293176098
t= 13.400000000000007	v1= 0.30320326368114187	v2= 0.1699996010519216
t= 13.600000000000007	v1= 0.2946388099838612	v2= 0.16919381347149579
t= 13.800000000000008	v1= 0.28639308796484525	v2= 0.16825484131774932
t= 14.000000000000007	v1= 0.2784510992439241	v2= 0.16719400881485835
t= 14.200000000000008	v1= 0.2707986484199358	v2= 0.16602190996268198
t= 14.400000000000007	v1= 0.2634222976984185	v2= 0.16474845246840042
t= 14.600000000000009	v1= 0.25630932413439433	v2= 0.16338289909158943
t= 14.800000000000008	v1= 0.24944767933847195	v2= 0.16193390655393836
t= 15.000000000000009	v1= 0.2428259515033269	v2= 0.16040956215600027
t= 15.200000000000006	v1= 0.236433329615931	v2= 0.15881741823505893
t= 15.400000000000006	v1= 0.23025956972873546	v2= 0.15716452459037675
t= 15.600000000000003	v1= 0.22429496317038639	v2= 0.15545745899472302
t= 15.800000000000002	v1= 0.21853030658349792	v2= 0.1537023559041467
t= 16.0	v1= 0.21295687368354915	v2= 0.15190493347142572
t= 16.2	v1= 0.20756638863913196	v2= 0.15007051896247545
