RC circuit simulation with RK4 :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 1.0	v1= 0.045859375	v2= 0.002
t= 2.0	v1= 0.1288957911376953	v2= 0.009620760839843751
t= 3.0000000000000004	v1= 0.19779239750126704	v2= 0.02274949333899811
t= 4.0	v1= 0.255519514756394	v2= 0.03923774920553795
t= 5.0	v1= 0.3043415490245961	v2= 0.057564740884135476
t= 6.0	v1= 0.3459944332065614	v2= 0.07666735109565705
t= 7.0	v1= 0.3818174559878504	v2= 0.09581504526745516
t= 8.0	v1= 0.41285130310872453	v2= 0.11451792982002702
t= 9.000000000000002	v1= 0.4399110604454301	v2= 0.13245926787866627
t= 10.000000000000002	v1= 0.4636406540123911	v2= 0.14944603259750927
t= 11.000000000000002	v1= 0.4386941446273905	v2= 0.1633727553857168
t= 12.000000000000004	v1= 0.374167259342947	v2= 0.17057440522313105
t= 13.000000000000004	v1= 0.3217130526780729	v2= 0.17116154499165656
t= 14.000000000000005	v1= 0.2786374229161117	v2= 0.16730858200642976
t= 15.000000000000005	v1= 0.24290519740929722	v2= 0.1605804767289241
t= 16.000000000000004	v1= 0.21297255406785648	v2= 0.1520956098751136
t= 17.000000000000004	v1= 0.18766271207562357	v2= 0.14264582888892033
t= 18.000000000000004	v1= 0.16607365612823471	v2= 0.1327848667726273
t= 19.0	v1= 0.14750958215886303	v2= 0.12289340666385862
t= 20.0	v1= 0.1314299148280812	v2= 0.11322690691668702
t= 21.0	v1= 0.16327072133059442	v2= 0.10595070549751608
t= 22.0	v1= 0.23401532010670023	v2= 0.10478650346105937
t= 22.999999999999996	v1= 0.29208032641623716	v2= 0.10967686164722786
t= 23.999999999999996	v1= 0.3402215105770077	v2= 0.11849680597235827
t= 24.999999999999996	v1= 0.380528830790106	v2= 0.12972711379743385
t= 25.999999999999993	v1= 0.4145949304920294	v2= 0.14229153519655593
t= 26.999999999999993	v1= 0.4436402103505867	v2= 0.1554368950885216
t= 27.999999999999993	v1= 0.46860574335762273	v2= 0.16864485962188724
t= 28.999999999999993	v1= 0.4902223700254292	v2= 0.18156707671382705
t= 29.99999999999999	v1= 0.5090621425591427	v2= 0.19397756431144153
t= 30.999999999999993	v1= 0.47971730823034664	v2= 0.20373781955028075
t= 31.999999999999996	v1= 0.41123004485095915	v2= 0.2071505436772183
t= 33.0	v1= 0.35520671538975007	v2= 0.20429534513351869
t= 34.0	v1= 0.30891227304246904	v2= 0.1973173233212584
t= 35.0	v1= 0.2702754605070925	v2= 0.18775395942910922
t= 36.00000000000001	v1= 0.23772051809467687	v2= 0.1766980600248806
t= 37.00000000000001	v1= 0.21004229427744633	v2= 0.16491780744387446
t= 38.00000000000001	v1= 0.18631349327763275	v2= 0.15294513388338787
t= 39.000000000000014	v1= 0.16581572522792234	v2= 0.14114070980292467
t= 40.000000000000014	v1= 0.14798819215886583	v2= 0.1297416736821771
t= 41.000000000000014	v1= 0.1782488213885519	v2= 0.12089663064818654
t= 42.00000000000002	v1= 0.24756463495242764	v2= 0.11831202581749402
t= 43.00000000000002	v1= 0.30433758935346816	v2= 0.12191653067061489
t= 44.00000000000002	v1= 0.3513102554679131	v2= 0.12957254063131438
t= 45.00000000000003	v1= 0.39056069585493763	v2= 0.13974935814132325
t= 46.00000000000003	v1= 0.4236708257168712	v2= 0.15136031615381135
