psi1= 266.9465603322478	psi2= 289.3393028469002	psi3= 307.144183068755	psi4= 289.60715731032894	psi5= 339.42485927784406	psi6= 331.4988118162587	psi7= 307.21561022297203	psi8= 331.5166684498074	psi9= 317.688432939535	
psi1= 267.9465603322478	psi2= 290.3393028469002	psi3= 308.144183068755	psi4= 290.60715731032894	psi5= 340.42485927784406	psi6= 332.4988118162587	psi7= 308.21561022297203	psi8= 332.5166684498074	psi9= 318.688432939535	
psi1= 268.9465603322478	psi2= 291.3393028469002	psi3= 309.144183068755	psi4= 291.60715731032894	psi5= 341.42485927784406	psi6= 333.4988118162587	psi7= 309.21561022297203	psi8= 333.5166684498074	psi9= 319.688432939535	
psi1= 269.9465603322478	psi2= 292.3393028469002	psi3= 310.144183068755	psi4= 292.60715731032894	psi5= 342.42485927784406	psi6= 334.4988118162587	psi7= 310.21561022297203	psi8= 334.5166684498074	psi9= 320.688432939535	
psi1= 270.9465603322478	psi2= 293.3393028469002	psi3= 311.144183068755	psi4= 293.60715731032894	psi5= 343.42485927784406	psi6= 335.4988118162587	psi7= 311.21561022297203	psi8= 335.5166684498074	psi9= 321.688432939535	
psi1= 271.9465603322478	psi2= 294.3393028469002	psi3= 312.144183068755	psi4= 294.60715731032894	psi5= 344.42485927784406	psi6= 336.4988118162587	psi7= 312.21561022297203	psi8= 336.5166684498074	psi9= 322.688432939535	
psi1= 272.9465603322478	psi2= 295.3393028469002	psi3= 313.144183068755	psi4= 295.60715731032894	psi5= 345.42485927784406	psi6= 337.4988118162587	psi7= 313.21561022297203	psi8= 337.5166684498074	psi9= 323.688432939535	
psi1= 273.9465603322478	psi2= 296.3393028469002	psi3= 314.144183068755	psi4= 296.60715731032894	psi5= 346.42485927784406	psi6= 338.4988118162587	psi7= 314.21561022297203	psi8= 338.5166684498074	psi9= 324.688432939535	
psi1= 274.9465603322478	psi2= 297.3393028469002	psi3= 315.144183068755	psi4= 297.60715731032894	psi5= 347.42485927784406	psi6= 339.4988118162587	psi7= 315.21561022297203	psi8= 339.5166684498074	psi9= 325.688432939535	
psi1= 275.9465603322478	psi2= 298.3393028469002	psi3= 316.144183068755	psi4= 298.60715731032894	psi5= 348.42485927784406	psi6= 340.4988118162587	psi7= 316.21561022297203	psi8= 340.5166684498074	psi9= 326.688432939535	
psi1= 276.9465603322478	psi2= 299.3393028469002	psi3= 317.144183068755	psi4= 299.60715731032894	psi5= 349.42485927784406	psi6= 341.4988118162587	psi7= 317.21561022297203	psi8= 341.5166684498074	psi9= 327.688432939535	
psi1= 277.9465603322478	psi2= 300.3393028469002	psi3= 318.144183068755	psi4= 300.60715731032894	psi5= 350.42485927784406	psi6= 342.4988118162587	psi7= 318.21561022297203	psi8= 342.5166684498074	psi9= 328.688432939535	
psi1= 278.9465603322478	psi2= 301.3393028469002	psi3= 319.144183068755	psi4= 301.60715731032894	psi5= 351.42485927784406	psi6= 343.4988118162587	psi7= 319.21561022297203	psi8= 343.5166684498074	psi9= 329.688432939535	
psi1= 279.9465603322478	psi2= 302.3393028469002	psi3= 320.144183068755	psi4= 302.60715731032894	psi5= 352.42485927784406	psi6= 344.4988118162587	psi7= 320.21561022297203	psi8= 344.5166684498074	psi9= 330.688432939535	
psi1= 280.9465603322478	psi2= 303.3393028469002	psi3= 321.144183068755	psi4= 303.60715731032894	psi5= 353.42485927784406	psi6= 345.4988118162587	psi7= 321.21561022297203	psi8= 345.5166684498074	psi9= 331.688432939535	
psi1= 281.9465603322478	psi2= 304.3393028469002	psi3= 322.144183068755	psi4= 304.60715731032894	psi5= 354.42485927784406	psi6= 346.4988118162587	psi7= 322.21561022297203	psi8= 346.5166684498074	psi9= 332.688432939535	
psi1= 282.9465603322478	psi2= 305.3393028469002	psi3= 323.144183068755	psi4= 305.60715731032894	psi5= 355.42485927784406	psi6= 347.4988118162587	psi7= 323.21561022297203	psi8= 347.5166684498074	psi9= 333.688432939535	
psi1= 283.9465603322478	psi2= 306.3393028469002	psi3= 324.144183068755	psi4= 306.60715731032894	psi5= 356.42485927784406	psi6= 348.4988118162587	psi7= 324.21561022297203	psi8= 348.5166684498074	psi9= 334.688432939535	
psi1= 284.9465603322478	psi2= 307.3393028469002	psi3= 325.144183068755	psi4= 307.60715731032894	psi5= 357.42485927784406	psi6= 349.4988118162587	psi7= 325.21561022297203	psi8= 349.5166684498074	psi9= 335.688432939535	
psi1= 285.9465603322478	psi2= 308.3393028469002	psi3= 326.144183068755	psi4= 308.60715731032894	psi5= 358.42485927784406	psi6= 350.4988118162587	psi7= 326.21561022297203	psi8= 350.5166684498074	psi9= 336.688432939535	
psi1= 286.9465603322478	psi2= 309.3393028469002	psi3= 327.144183068755	psi4= 309.60715731032894	psi5= 359.42485927784406	psi6= 351.4988118162587	psi7= 327.21561022297203	psi8= 351.5166684498074	psi9= 337.688432939535	
psi1= 287.9465603322478	psi2= 310.3393028469002	psi3= 328.144183068755	psi4= 310.60715731032894	psi5= 360.42485927784406	psi6= 352.4988118162587	psi7= 328.21561022297203	psi8= 352.5166684498074	psi9= 338.688432939535	
psi1= 288.9465603322478	psi2= 311.3393028469002	psi3= 329.144183068755	psi4= 311.60715731032894	psi5= 361.42485927784406	psi6= 353.4988118162587	psi7= 329.21561022297203	psi8= 353.5166684498074	psi9= 339.688432939535	
psi1= 289.9465603322478	psi2= 312.3393028469002	psi3= 330.144183068755	psi4= 312.60715731032894	psi5= 362.42485927784406	psi6= 354.4988118162587	psi7= 330.21561022297203	psi8= 354.5166684498074	psi9= 340.688432939535	
psi1= 290.9465603322478	psi2= 313.3393028469002	psi3= 331.144183068755	psi4= 313.60715731032894	psi5= 363.42485927784406	psi6= 355.4988118162587	psi7= 331.21561022297203	psi8= 355.5166684498074	psi9= 341.688432939535	
psi1= 291.9465603322478	psi2= 314.3393028469002	psi3= 332.144183068755	psi4= 314.60715731032894	psi5= 364.42485927784406	psi6= 356.4988118162587	psi7= 332.21561022297203	psi8= 356.5166684498074	psi9= 342.688432939535	
psi1= 292.9465603322478	psi2= 315.3393028469002	psi3= 333.144183068755	psi4= 315.60715731032894	psi5= 365.42485927784406	psi6= 357.4988118162587	psi7= 333.21561022297203	psi8= 357.5166684498074	psi9= 343.688432939535	
psi1= 293.9465603322478	psi2= 316.3393028469002	psi3= 334.144183068755	psi4= 316.60715731032894	psi5= 366.42485927784406	psi6= 358.4988118162587	psi7= 334.21561022297203	psi8= 358.5166684498074	psi9= 344.688432939535	
